iter	Passed	Remaining
0	142	142133
1	146	73124
2	153	50984
3	157	39154
4	162	32390
5	167	27791
6	171	24339
7	175	21816
8	179	19776
9	181	18012
10	183	16532
11	185	15299
12	188	14284
13	190	13386
14	192	12645
15	194	11931
16	195	11299
17	196	10731
18	197	10219
19	199	9760
20	200	9351
21	202	8981
22	203	8635
23	205	8341
24	206	8060
25	207	7776
26	208	7513
27	209	7270
28	210	7043
29	211	6830
30	212	6628
31	212	6438
32	213	6261
33	214	6094
34	215	5935
35	216	5786
36	216	5645
37	217	5511
38	218	5383
39	219	5265
40	220	5167
41	221	5058
42	222	4952
43	223	4851
44	224	4754
45	224	4661
46	225	4572
47	226	4487
48	227	4407
49	227	4329
50	228	4254
51	229	4182
52	230	4112
53	230	4045
54	231	3980
55	232	3918
56	233	3857
57	234	3804
58	235	3757
59	236	3703
60	237	3650
61	237	3598
62	238	3549
63	239	3501
64	240	3454
65	240	3409
66	241	3366
67	242	3323
68	243	3282
69	244	3241
70	244	3202
71	245	3164
72	246	3127
73	247	3091
74	247	3055
75	248	3021
76	250	2997
77	250	2964
78	251	2932
79	252	2901
80	253	2871
81	253	2841
82	254	2808
83	255	2781
84	255	2754
85	256	2727
86	257	2700
87	258	2675
88	258	2650
89	259	2625
90	260	2601
91	261	2577
92	261	2554
93	262	2531
94	263	2514
95	265	2496
96	265	2475
97	266	2454
98	267	2433
99	268	2413
100	269	2394
101	269	2375
102	270	2356
103	271	2338
104	272	2319
105	272	2301
106	273	2283
107	274	2266
108	275	2249
109	275	2232
110	276	2215
111	277	2199
112	278	2187
113	279	2175
114	280	2161
115	281	2147
116	282	2133
117	283	2120
118	284	2107
119	285	2094
120	286	2081
121	287	2066
122	287	2052
123	288	2039
124	289	2026
125	290	2014
126	291	2000
127	291	1988
128	292	1976
129	294	1969
130	295	1957
131	295	1945
132	296	1933
133	297	1921
134	298	1910
135	298	1898
136	299	1887
137	300	1875
138	301	1864
139	301	1853
140	302	1843
141	303	1831
142	303	1820
143	304	1810
144	305	1799
145	305	1789
146	306	1779
147	307	1769
148	309	1765
149	309	1755
150	310	1746
151	311	1737
152	312	1728
153	312	1719
154	313	1710
155	314	1701
156	315	1692
157	316	1684
158	316	1675
159	317	1667
160	318	1657
161	318	1649
162	319	1641
163	320	1633
164	321	1625
165	321	1617
166	323	1612
167	324	1606
168	325	1599
169	325	1591
170	326	1583
171	327	1576
172	328	1568
173	329	1561
174	329	1554
175	330	1547
176	331	1540
177	332	1533
178	332	1526
179	333	1519
180	334	1512
181	335	1505
182	335	1499
183	336	1492
184	338	1490
185	339	1484
186	339	1478
187	340	1471
188	341	1465
189	342	1459
190	342	1452
191	343	1446
192	344	1440
193	345	1434
194	345	1428
195	346	1422
196	347	1416
197	348	1410
198	348	1404
199	349	1398
200	350	1392
201	351	1387
202	351	1381
203	353	1379
204	354	1374
205	355	1368
206	355	1362
207	356	1357
208	357	1352
209	358	1347
210	358	1341
211	359	1336
212	360	1331
213	361	1326
214	361	1321
215	362	1316
216	363	1311
217	364	1306
218	364	1301
219	365	1296
220	366	1291
221	367	1289
222	368	1285
223	369	1280
224	370	1275
225	371	1270
226	371	1266
227	372	1261
228	373	1257
229	374	1252
230	374	1248
231	375	1243
232	376	1238
233	377	1234
234	377	1230
235	378	1225
236	379	1221
237	380	1217
238	380	1212
239	381	1208
240	383	1206
241	383	1202
242	384	1198
243	385	1194
244	386	1189
245	386	1185
246	387	1181
247	388	1177
248	389	1173
249	389	1169
250	390	1165
251	391	1161
252	392	1157
253	392	1153
254	393	1150
255	394	1146
256	395	1143
257	396	1139
258	397	1137
259	398	1134
260	399	1130
261	400	1126
262	400	1123
263	401	1119
264	402	1115
265	403	1112
266	403	1108
267	404	1105
